"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.474"	"Reptilia"	"Squamata"	"Gekkonidae"	"Uroplatus"	"Uroplatus alluaudi"		"ZW/ZZ"	"identified"	"yes"	"W"		"W is heterochromatic"	"[279]"																"EN"		"[383]"
"hsdA1.475"	"Reptilia"	"Squamata"	"Gekkonidae"	"Uroplatus"	"Uroplatus henkeli"		"ZW/ZZ"	"identified"	"yes"	"W"		"W is heterochromatic"	"[279]"																"EN"		"[383]"
"hsdA1.476"	"Reptilia"	"Squamata"	"Gekkonidae"	"Uroplatus"	"Uroplatus sikorae"		"ZW/ZZ"	"identified"				"W is heterochromatic"	"[279]"																"EN"		"[383]"
"hsdA1.477"	"Reptilia"	"Squamata"	"Gerrhosauridae"	"Tracheloptychus"	"Tracheloptychus petersi"		"ZW/ZZ"	"identified"				"micochromosomes"	"[182]"																"VB"		"[383]"
"hsdA1.478"	"Reptilia"	"Squamata"	"Gerrhosauridae"	"Zonosaurus"	"Zonosaurus madagascariensis"		"ZW/ZZ"	"identified"				"The W was identified. Z and W are assumed to differ in seqence content based on comparative genomic hybridization (CGH)."	"[184]"																"EN"		"[383]"
"hsdA1.479"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus leiolepis"		"complex XX/XY"	"identified"				"X1X2Y"	"[412]"																"Tree of Sex database"		"[383]"
"hsdA1.480"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus nicterus"		"complex XX/XY"	"identified"				"X1X2Y"	"[412]"																"Tree of Sex database"		"[383]"
"hsdA1.481"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Calyptommatus"	"Calyptommatus sinebrachiatus"		"complex XX/XY"	"identified"				"X1X2Y"	"[412]"																"Tree of Sex database"		"[383]"
"hsdA1.482"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Gymnophthalmus"	"Gymnophthalmus pleii"	"Gymnophthalmus pleei"	"XX/XY"	"identified"					"[50]"																"Tree of Sex database"		"[383]"
"hsdA1.483"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Micrablepharus"	"Micrablepharus atticolus"		"XX/XY"	"identified"					"[411]"															"50,51,52,53 B chromosomes"	"Tree of Sex database"		"[383]"
"hsdA1.484"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Micrablepharus"	"Micrablepharus maximiliani"		"XX/XY"	"identified"					"[411]"															"50,51 B chromosomes"	"Tree of Sex database"		"[383]"
"hsdA1.485"	"Reptilia"	"Squamata"	"Gymnophthalmidae"	"Nothobachia"	"Nothobachia ablephara"		"XX/XY"	"identified"					"[275]"															"62,63,64 B chromosomes"	"Tree of Sex database"		"[383]"
"hsdA1.486"	"Reptilia"	"Squamata"	"Helodermatidae"	"Heloderma"	"Heloderma exasperatum"		"ZW/ZZ"	"identified"				"based on relative gene dosage"	"[286], [306]"																"EN"		"[383]"
"hsdA1.487"	"Reptilia"	"Squamata"	"Helodermatidae"	"Heloderma"	"Heloderma horridum"		"ZW/ZZ"	"identified"				"based on relative gene dosage"	"[286], [306]"																"EN"		"[383]"
"hsdA1.488"	"Reptilia"	"Squamata"	"Helodermatidae"	"Heloderma"	"Heloderma suspectum"		"ZW/ZZ"	"identified"				"W is highly heterochromatic"	"[286], [306]"																"EN"		"[383]"
"hsdA1.489"	"Reptilia"	"Squamata"	"Homalopsidae"	"Cerberus"	"Cerberus rynchops"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.490"	"Reptilia"	"Squamata"	"Homalopsidae"	"Gerarda"	"Gerarda prevostiana"		"ZW/ZZ"	"identified"	"yes"		"The authors hypothesised that the larger chromosome might be the Z."	"only females were karyotyped"	"[353], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.491"	"Reptilia"	"Squamata"	"Homalopsidae"	"Homalopsis"	"Homalopsis buccata"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.492"	"Reptilia"	"Squamata"	"Iguanidae"	"Cyclura"	"Cyclura nubila"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.493"	"Reptilia"	"Squamata"	"Iguanidae"	"Dipsosaurus"	"Dipsosaurus dorsalis"									"FMF ?"	"E-M-E"	"even"	"30?"	"male"	"even"	"38"		"sample sizes were low, but significant male bias at 34 degrees Celsius, ca. 35% males at 30 and 38  degrees Celsius (N.S.)"	"[391]"							"EN, VB"	"[383]"
"hsdA1.494"	"Reptilia"	"Squamata"	"Iguanidae"	"Iguana"	"Iguana iguana"		"XX/XY"	"homomorphic"					"[180], [304]"																"VB, EN"		"[383]"
"hsdA1.495"	"Reptilia"	"Squamata"	"Lacertidae"	"Acanthodactylus"	"Acanthodactylus boskianus"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.496"	"Reptilia"	"Squamata"	"Lacertidae"	"Acanthodactylus"	"Acanthodactylus erythrurus"		"ZW/ZZ"	"identified"					"[267]"																"Tree of Sex database"		"[383]"
"hsdA1.497"	"Reptilia"	"Squamata"	"Lacertidae"	"Acanthodactylus"	"Acanthodactylus schreiberi"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.498"	"Reptilia"	"Squamata"	"Lacertidae"	"Acanthodactylus"	"Anatololacerta finikensis"	"Anatololacerta oertzeni"	"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.499"	"Reptilia"	"Squamata"	"Lacertidae"	"Algyroides"	"Algyroides moreoticus"		"ZW/ZZ"	"identified"					"[258]"																"Tree of Sex database"		"[383]"
"hsdA1.500"	"Reptilia"	"Squamata"	"Lacertidae"	"Algyroides"	"Algyroides nigropunctatus"		"ZW/ZZ"	"identified"					"[258]"																"Tree of Sex database"		"[383]"
"hsdA1.501"	"Reptilia"	"Squamata"	"Lacertidae"	"Apathya"	"Apathya cappadocica"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.502"	"Reptilia"	"Squamata"	"Lacertidae"	"Atlantolacerta"	"Atlantolacerta andreanskyi"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[309], [395]"																"EN"		"[383]"
"hsdA1.503"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia dahli"	"Lacerta dahli"	"ZW/ZZ"	"identified"					"[191]"																"Tree of Sex database"		"[383]"
"hsdA1.504"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia mixta"	"Lacerta mixta"	"ZW/ZZ"	"identified"					"[191]"																"Tree of Sex database"		"[383]"
"hsdA1.505"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia portschinskii"		"ZW/ZZ"						"[309]"																"EN"		"[383]"
"hsdA1.506"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia raddei"	"Lacerta raddei"	"ZW/ZZ"	"identified"					"[190]"																"Tree of Sex database"		"[383]"
"hsdA1.507"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia rostombekowi"	"Lacerta rostombekovi"	"ZW/ZZ"	"identified"					"[190]"																"Tree of Sex database"		"[383]"
"hsdA1.508"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia unisexualis"	"Lacerta unisexualis"	"ZW/ZZ"	"identified"					"[190]"																"Tree of Sex database"		"[383]"
"hsdA1.509"	"Reptilia"	"Squamata"	"Lacertidae"	"Darevskia"	"Darevskia valentini"	"Lacerta valentini"	"ZW/ZZ"	"identified"					"[190]"																"Tree of Sex database"		"[383]"
"hsdA1.510"	"Reptilia"	"Squamata"	"Lacertidae"	"Dinarolacerta"	"Dinarolacerta mosorensis"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[37]"																"EN"		"[383]"
"hsdA1.511"	"Reptilia"	"Squamata"	"Lacertidae"	"Eremias"	"Eremias arguta"		"ZW/ZZ"	"identified"					"[269]"																"Tree of Sex database"		"[383]"
"hsdA1.512"	"Reptilia"	"Squamata"	"Lacertidae"	"Eremias"	"Eremias grammica"		"ZW/ZZ"	"identified"					"[192]"																"Tree of Sex database"		"[383]"
"hsdA1.513"	"Reptilia"	"Squamata"	"Lacertidae"	"Eremias"	"Eremias multiocellata"		"ZW/ZZ"	"identified"					"[375]"	"FM"	"F-M"	"female"	"25"	"even"	"male"	"35"		"Viviparous species. Mean temperature during the breeding season varies between populations: 18.3 degrees Celsius in Minquin, 7.1 degrees Celsius in Tianzhu."	"[375], [418]"						"Tree of Sex database"	"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.514"	"Reptilia"	"Squamata"	"Lacertidae"	"Eremias"	"Eremias velox"		"ZW/ZZ"	"identified"					"[269]"																"Tree of Sex database"		"[383]"
"hsdA1.515"	"Reptilia"	"Squamata"	"Lacertidae"	"Gallotia"	"Gallotia galloti"		"ZW/ZZ"	"identified"					"[265]"																"Tree of Sex database"		"[383]"
"hsdA1.516"	"Reptilia"	"Squamata"	"Lacertidae"	"Gallotia"	"Gallotia stehlini"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.517"	"Reptilia"	"Squamata"	"Lacertidae"	"Heliobolus"	"Heliobolus lugubris"		"ZW/ZZ"	"identified"	"yes"	"Z"	"W is microchromosome"		"[262]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.518"	"Reptilia"	"Squamata"	"Lacertidae"	"Hellenolacerta"	"Hellenolacerta graeca"	"Lacerta graeca"	"ZW/ZZ"	"identified"					"[267]"																"Tree of Sex database"		"[383]"
"hsdA1.519"	"Reptilia"	"Squamata"	"Lacertidae"	"Holaspis"	"Holaspis guentheri"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.520"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta aranica"	"Lacerta aranica; Lacerta bonnali aranica"	"ZW/ZZ"	"identified"					"[259]"																"Tree of Sex database"		"[383]"
"hsdA1.521"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta aurelioi"	"Lacerta aurelioi"	"complex ZW/ZZ"	"identified"				"Z1Z2W"	"[260]"																"EN"		"[383]"
"hsdA1.522"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta bonnali"		"complex ZW/ZZ"	"identified"				"Z1Z2W"	"[260]"																"EN"		"[383]"
"hsdA1.523"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta cyreni"	"Lacerta cyreni; Lacerta monticola cyreni"	"ZW/ZZ"	"identified"	"yes"	"Z"			"[260]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.524"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta galani"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[9]"																"EN"		"[383]"
"hsdA1.525"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta horvathi"	"Lacerta horvathi"	"ZW/ZZ"	"identified"					"[36]"																"Tree of Sex database"		"[383]"
"hsdA1.526"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iberolacerta monticola"	"Lacerta monticola"	"ZW/ZZ"	"identified"					"[297]"																"Tree of Sex database"		"[383]"
"hsdA1.527"	"Reptilia"	"Squamata"	"Lacertidae"	"Iberolacerta"	"Iranolacerta brandtii"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.528"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta agilis"		"ZW/ZZ"	"identified"					"[60]"																"Tree of Sex database"		"[383]"
"hsdA1.529"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta bilineata"		"ZW/ZZ"	"identified"					"[266]"																"Tree of Sex database"		"[383]"
"hsdA1.530"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta media"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.531"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta schreiberi"		"ZW/ZZ"						"[309]"																"EN"		"[383]"
"hsdA1.532"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta strigata"		"ZW/ZZ"	"identified"					"[154]"																"Tree of Sex database"		"[383]"
"hsdA1.533"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta trilineata"		"ZW/ZZ"	"identified"					"[103]"																"Tree of Sex database"		"[383]"
"hsdA1.534"	"Reptilia"	"Squamata"	"Lacertidae"	"Lacerta"	"Lacerta viridis"		"ZW/ZZ"	"identified"					"[60]"																"Tree of Sex database"		"[383]"
"hsdA1.535"	"Reptilia"	"Squamata"	"Lacertidae"	"Latastia"	"Latastia longicaudata"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.536"	"Reptilia"	"Squamata"	"Lacertidae"	"Meroles"	"Meroles cuneirostris"		"ZW/ZZ"	"identified"					"[262], [267]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.537"	"Reptilia"	"Squamata"	"Lacertidae"	"Meroles"	"Meroles squamulosus"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.538"	"Reptilia"	"Squamata"	"Lacertidae"	"Mesalina"	"Mesalina guttulata"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.539"	"Reptilia"	"Squamata"	"Lacertidae"	"Mesalina"	"Mesalina olivieri"	"Eremias olivieri"	"ZW/ZZ"	"identified"					"[103], [104]"																"Tree of Sex database"		"[383]"
"hsdA1.540"	"Reptilia"	"Squamata"	"Lacertidae"	"Nucras"	"Nucras intertexta"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.541"	"Reptilia"	"Squamata"	"Lacertidae"	"Nucras"	"Nucras taeniolata"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.542"	"Reptilia"	"Squamata"	"Lacertidae"	"Omanosaura"	"Omanosaura jayakari"	"Lacerta jayakari"	"ZW/ZZ"	"identified"					"[86]"																"Tree of Sex database"		"[383]"
"hsdA1.543"	"Reptilia"	"Squamata"	"Lacertidae"	"Ophisops"	"Ophisops elegans"		"ZW/ZZ"	"identified"					"[28]"																"Tree of Sex database"		"[383]"
"hsdA1.544"	"Reptilia"	"Squamata"	"Lacertidae"	"Pedioplanis"	"Pedioplanis lineoocellata"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.545"	"Reptilia"	"Squamata"	"Lacertidae"	"Pedioplanis"	"Pedioplanis namaquensis"		"ZW/ZZ"	"identified"	"yes"	"Z"	"W is microchromosome"		"[262]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.546"	"Reptilia"	"Squamata"	"Lacertidae"	"Phoenicolacerta"	"Phoenicolacerta kulzeri"	"Lacerta kulzeri"	"ZW/ZZ"	"identified"					"[150]"																"Tree of Sex database"		"[383]"
"hsdA1.547"	"Reptilia"	"Squamata"	"Lacertidae"	"Phoenicolacerta"	"Phoenicolacerta laevis"	"Lacerta laevis"	"ZW/ZZ"	"identified"					"[150]"																"Tree of Sex database"		"[383]"
"hsdA1.548"	"Reptilia"	"Squamata"	"Lacertidae"	"Phoenicolacerta"	"Phoenicolacerta troodica"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.549"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis bocagei"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.550"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis erhardii"		"ZW/ZZ"	"identified"					"[269]"																"Tree of Sex database"		"[383]"
"hsdA1.551"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis hispanicus"	"Podarcis hispanica"	"ZW/ZZ"	"identified"					"[257]"																"Tree of Sex database"		"[383]"
"hsdA1.552"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis melisellensis"		"ZW/ZZ"	"identified"					"[60]"																"Tree of Sex database"		"[383]"
"hsdA1.553"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis muralis"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.554"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis peloponnesiacus"	"Podarcis peloponnesiaca"	"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.555"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis pityusensis"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"	"TSD uncertain"	"TSD uncertain"							"the only info given is 1 male:10-15 females at 29 degrees Celsius"	"[134]"						"EN"	"VB, Tree of Sex database"	"[383]"
"hsdA1.556"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis siculus"		"ZW/ZZ"	"identified"					"[263], [269]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.557"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis tauricus"		"ZW/ZZ"						"[309]"																"EN"		"[383]"
"hsdA1.558"	"Reptilia"	"Squamata"	"Lacertidae"	"Podarcis"	"Podarcis waglerianus"	"Podarcis wagleriana"	"ZW/ZZ"	"identified"					"[270]"																"Tree of Sex database"		"[383]"
"hsdA1.559"	"Reptilia"	"Squamata"	"Lacertidae"	"Psammodromus"	"Psammodromus algirus"		"ZW/ZZ"	"identified"					"[60]"																"Tree of Sex database"		"[383]"
"hsdA1.560"	"Reptilia"	"Squamata"	"Lacertidae"	"Psammodromus"	"Psammodromus hispanicus"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.561"	"Reptilia"	"Squamata"	"Lacertidae"	"Scelarcis"	"Scelarcis perspicillata"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.562"	"Reptilia"	"Squamata"	"Lacertidae"	"Takydromus"	"Takydromus septentrionalis"									"FM ?"	"E-M"			"even"	"male"	"33"		"Lowest tested temperature was 24 degrees Celsius"	"[71]"							"VB"	"[383]"
"hsdA1.563"	"Reptilia"	"Squamata"	"Lacertidae"	"Takydromus"	"Takydromus sexlineatus"		"ZW/ZZ"	"identified"					"[268]"																"Tree of Sex database"		"[383]"
"hsdA1.564"	"Reptilia"	"Squamata"	"Lacertidae"	"Teira"	"Teira dugesii"	"Podarcis dugesii"	"ZW/ZZ"	"identified"					"[267], [309]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.565"	"Reptilia"	"Squamata"	"Lacertidae"	"Timon"	"Timon lepidus"	"Lacerta lepidus"	"ZW/ZZ"	"identified"					"[266]"																"Tree of Sex database"		"[383]"
"hsdA1.566"	"Reptilia"	"Squamata"	"Lacertidae"	"Timon"	"Timon tangitanus"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.567"	"Reptilia"	"Squamata"	"Lacertidae"	"Vhembelacerta"	"Vhembelacerta rupicola"		"ZW/ZZ"					"based on relative gene dosage"	"[309]"																"EN"		"[383]"
"hsdA1.568"	"Reptilia"	"Squamata"	"Lacertidae"	"Zootoca"	"Zootoca vivipara"	"Lacerta vivipara"	"complex ZW/ZZ"	"identified"				"Several populations possess (Z1Z2W), but the sex-chromose composition varies greatly between localities, and W may be much smaller than Z in some."	"[261]"																"EN"		"[383]"
"hsdA1.569"	"Reptilia"	"Squamata"	"Lamprophiidae"	"Boaedon"	"Boaedon fuliginosus"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.570"	"Reptilia"	"Squamata"	"Leiocephalidae"	"Leiocephalus"	"Leiocephalus carinatus"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.571"	"Reptilia"	"Squamata"	"Leiosauridae"	"Pristidactylus"	"Pristidactylus achalensis"	"Cupriguanus achalensis"	"XX/XY"	"identified"					"[107]"																"Tree of Sex database"		"[383]"
"hsdA1.572"	"Reptilia"	"Squamata"	"Liolaemidae"	"Phymaturus"	"Phymaturus denotatus"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X1X2X2 / YX1X2"	"[119]"																"EN"		"[383]"
"hsdA1.573"	"Reptilia"	"Squamata"	"Liolaemidae"	"Phymaturus"	"Phymaturus laurenti"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X1X2X2 / YX1X2"	"[119]"																"EN"		"[383]"
"hsdA1.574"	"Reptilia"	"Squamata"	"Liolaemidae"	"Phymaturus"	"Phymaturus palluma"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X1X2X2 / YX1X2"	"[119], [200]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.575"	"Reptilia"	"Squamata"	"Liolaemidae"	"Phymaturus"	"Phymaturus roigorum"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X1X2X2 / YX1X2"	"[119]"																"EN"		"[383]"
"hsdA1.576"	"Reptilia"	"Squamata"	"Liolaemidae"	"Phymaturus"	"Phymaturus williamsi"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X1X2X2 / YX1X2"	"[119]"																"EN"		"[383]"
"hsdA1.577"	"Reptilia"	"Squamata"	"Opluridae"	"Chalarodon"	"Chalarodon madagascariensis"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.578"	"Reptilia"	"Squamata"	"Opluridae"	"Oplurus"	"Oplurus fierinensis"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.579"	"Reptilia"	"Squamata"	"Pareidae"	"Pareas"	"Pareas hamptoni"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.580"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Petrosaurus"	"Petrosaurus thalassinus"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.581"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus aeneus"		"complex XX/XY"	"identified"				"X1X2Y"	"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.582"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus anahuacus"		"complex XX/XY"	"identified"				"X1X2Y"	"[203]"																"Tree of Sex database"		"[383]"
"hsdA1.583"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus asper"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.584"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus bulleri"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.585"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus cautus"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.586"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus chrysostictus"		"XX/XY"	"identified"	"yes"	"X"			"[52], [104]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.587"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus clarkii"		"XX/XY"	"identified"					"[51]"																"Tree of Sex database"		"[383]"
"hsdA1.588"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus couchii"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.589"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus cozumelae"		"XX/XY"	"identified"					"[48]"																"Tree of Sex database"		"[383]"
"hsdA1.590"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus dugesii"		"complex XX/XY"	"identified"				"X1X2Y"	"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.591"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus gadoviae"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.592"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus goldmani"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.593"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus graciosus"		"XX/XY"	"identified"	"yes"				"[292]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.594"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus grammicus"		"complex XX/XY"	"identified"				"X1X2Y"	"[129]"																"Tree of Sex database"		"[383]"
"hsdA1.595"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus heterolepis"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.596"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus hunsakeri"		"XX/XY"	"identified"					"[125]"																"Tree of Sex database"		"[383]"
"hsdA1.597"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus jalapae"		"XX/XY"	"identified"					"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.598"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus jarrovii"		"complex XX/XY"	"identified"				"X1X2Y"	"[215]"																"Tree of Sex database"		"[383]"
"hsdA1.599"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus licki"		"XX/XY"	"identified"					"[125]"																"Tree of Sex database"		"[383]"
"hsdA1.600"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus lundelli"		"XX/XY"	"identified"					"[51]"																"Tree of Sex database"		"[383]"
"hsdA1.601"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus maculosus"		"complex XX/XY"	"identified"	"yes"	"Y"		"X1X2Y"	"[52]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.602"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus megalepidurus"		"complex XX/XY"	"identified"				"X1X2Y"	"[126]"																"Tree of Sex database"		"[383]"
"hsdA1.603"	"Reptilia"	"Squamata"	"Phrynosomatidae"	"Sceloporus"	"Sceloporus melanorhinus"		"XX/XY"	"identified"					"[51]"																"Tree of Sex database"		"[383]"
